delivery_h3,number_of_orders,total_sales,failed_deliveries,pct_failed_deliveries
631781451540736511,1,2115.02,1,50.0
631781454383164927,1,2015.03,0,0.0
631781451958624767,1,5760.20,0,0.0
631781082446254591,1,1691.05,0,0.0
631781455467735551,1,2031.51,0,0.0
631781085723873791,1,2948.64,0,0.0
631781453156509695,1,3902.02,0,0.0
631781084815016447,1,1020.92,1,50.0
631781453694548479,1,2250.93,0,0.0
631781457181896191,1,423.06,0,0.0
631781456007437311,1,1460.01,0,0.0
631781085160480255,1,1934.62,0,0.0
631781088864504319,1,1285.03,1,100.0
631781456908413951,1,397.82,0,0.0
631781452393094655,1,503.72,0,0.0
631781052256635903,1,1311.92,0,0.0
631781088882077183,1,1401.26,0,0.0
631781457189783039,1,1495.07,1,100.0
631781489580709375,1,389.43,1,100.0
631781489313360383,1,2226.60,0,0.0
631781084277137919,1,1605.89,1,100.0
631781452189493247,2,5631.15,0,0.0
631781052289574399,1,928.34,1,100.0
631781454394016255,1,470.69,0,0.0
631781456244579327,1,2808.53,0,0.0
631781452241726463,1,1437.02,0,0.0
631781456195150335,1,1681.10,1,100.0
631781053983427071,1,2291.50,0,0.0
631781451824239103,1,300.99,0,0.0
631781489553987583,1,2791.26,0,0.0
631781457156675583,1,1325.62,0,0.0
631781489523514879,1,4307.96,0,0.0
631781456193309183,1,16.13,0,0.0
631781452249934847,1,1497.06,0,0.0
631781084361198079,1,2756.10,1,50.0
631781457500571647,1,15.68,0,0.0
631781084365735935,1,193.31,0,0.0
631781457007325695,1,227.68,0,0.0
631781054049294335,1,1204.69,0,0.0
631781457136196607,1,292.47,0,0.0
631781052881585663,1,2450.11,0,0.0
631781489222428159,1,273.98,0,0.0
631781457184734719,2,7784.33,0,0.0
631781452243813375,1,1991.59,0,0.0
631781451673388543,1,1343.26,1,50.0
631781084363532287,1,1624.98,1,100.0
631781456965883391,1,4210.18,1,100.0
631781456517273599,1,2172.70,0,0.0
631781456963810303,1,2349.04,0,0.0
631781457287458303,1,2772.93,1,100.0
631781052216678911,1,9340.05,0,0.0
631781453414472703,1,2208.78,0,0.0
631781457353975295,1,5429.13,1,33.333336
631781453378364415,1,449.70,0,0.0
631781456192354815,1,2597.73,0,0.0
631781489536855039,1,2382.02,0,0.0
631781088868455423,1,1249.90,2,100.0
631781453194141183,1,10353.45,1,33.333336
631781455500871167,1,674.94,0,0.0
631781452941374975,1,5644.60,0,0.0
631781489248852991,1,624.15,0,0.0
631781453181627903,1,1995.87,3,100.0
631781452648094719,1,6630.90,1,33.333336
631781457627827199,1,1126.11,1,100.0
631781086200235007,1,2224.97,0,0.0
631781489524185599,1,593.09,1,100.0
631781452252561919,1,2692.82,0,0.0
631781451824202751,1,3866.66,1,50.0
631781457292483071,1,5337.78,1,33.333336
631781052876636671,1,371.35,0,0.0
631781089432721919,1,1217.40,1,50.0
631781084948436991,1,1430.59,0,0.0
631781454726089215,1,1623.08,1,100.0
631781052172936703,1,336.05,1,100.0
631781084988106239,1,963.92,0,0.0
631781455289224191,1,7140.45,1,33.333336
631781457313082367,1,3218.46,0,0.0
631781451682060287,1,4164.50,0,0.0
631781452865870335,1,402.72,0,0.0
631781452853806079,1,3628.92,0,0.0
631781084836292607,2,5575.59,3,100.0
631781451512222207,1,14114.76,0,0.0
631781489216210431,1,7164.69,1,33.333336
631781456939486719,1,2378.84,0,0.0
631781489485212671,1,6714.08,1,50.0
631781089414362623,1,3444.46,0,0.0
631781082581087743,1,2671.35,0,0.0
631781489279790079,1,1760.38,0,0.0
631781085943448063,1,2444.06,0,0.0
631781084478248959,1,999.08,1,25.0
631781454804273151,1,5041.78,0,0.0
631781452044706815,1,3407.54,0,0.0
631781084778807807,1,814.14,0,0.0
631781455321763327,1,4747.62,0,0.0
631781456007812095,1,2434.08,1,50.0
631781458688235007,1,549.74,0,0.0
631781453168292863,1,5548.70,0,0.0
631781084887214079,1,3610.95,1,20.0
631781452042649087,1,4985.32,0,0.0
631781086194907135,1,1443.45,0,0.0
631781457641604095,1,196.20,1,50.0
631781052659686399,1,1096.48,0,0.0
631781451598580223,1,91.95,0,0.0
631781457572964863,1,1498.09,0,0.0
631781088848602623,1,1927.35,2,66.66667
631781088672004095,1,4319.68,0,0.0
631781457325269503,1,1215.45,0,0.0
631781457477586431,1,3622.06,0,0.0
631781456999390719,1,945.18,0,0.0
631781457476454399,1,84.28,0,0.0
631781452178468351,1,4155.04,1,100.0
631781456868180479,1,2455.96,1,50.0
631781457579389951,1,4685.10,1,33.333336
631781457687366143,1,5608.86,0,0.0
631781085056886271,1,751.32,0,0.0
631781457677039103,1,3414.02,2,100.0
631781452946487295,1,1554.75,0,0.0
631781457689010687,1,1303.90,0,0.0
631781452233203199,1,1099.26,1,50.0
631781455951739903,1,2819.86,1,50.0
631781451722504191,1,875.31,1,100.0
631781088875125247,1,4019.66,0,0.0
631781489498185215,1,1626.14,0,0.0
631781086195013631,1,555.93,0,0.0
631781456927343615,1,2171.07,0,0.0
631781052666899967,1,451.19,0,0.0
631781489578674175,1,1279.56,1,50.0
631781489257427967,1,1755.13,0,0.0
631781453208344063,1,108.84,0,0.0
631781456007670783,1,9729.86,0,0.0
631781457310319615,1,5478.80,0,0.0
631781452859730943,1,2754.55,0,0.0
631781456031573503,1,2508.28,1,50.0
631781455294008319,1,3441.00,1,50.0
631781489506726911,1,1307.17,1,100.0
631781457374096895,1,5320.65,2,66.66667
631781456865141759,1,2133.90,1,100.0
631781084976142847,1,4032.89,0,0.0
631781456863352319,1,3593.94,0,0.0
631781457743889919,2,4233.49,0,0.0
631781489096696831,1,451.42,0,0.0
631781452870673407,1,2531.58,0,0.0
631781456899954687,1,746.76,2,100.0
631781451739177471,1,1924.30,1,100.0
631781456031827455,1,273.00,1,100.0
631781457266560511,1,1070.27,0,0.0
631781088758946815,1,1961.93,1,100.0
631781452858137087,1,2413.49,0,0.0
631781456883401727,1,2383.79,0,0.0
631781455794705407,1,7422.66,1,33.333336
631781452245583359,1,899.44,0,0.0
631781457695772159,1,2844.91,0,0.0
631781085760754687,1,7003.40,0,0.0
631781457093040639,1,1837.18,0,0.0
631781455547270655,1,7073.31,2,66.66667
631781453398644223,1,3636.54,2,100.0
