delivery_id,order_id,estimated_delivery_date,actual_delivery_date,delivery_status
1,ad5a1b26-ac3e-4e40-b5f6-c2a76da09cd0,2024-01-17,2024-01-18,"In Transit"
2,0b51e021-d6f5-4d94-ac97-2d2e3966a958,2023-10-09,2023-10-10,Failed
3,25b47cd5-be1e-422d-a9cf-1451be8eeec6,2024-03-27,2024-03-27,Failed
4,60e299c6-5e57-40fa-bc81-8532f48a91da,2024-02-23,2024-02-22,"In Transit"
5,57d9ece7-2baa-449d-beb7-4675cb042f65,2024-07-01,2024-07-02,Delayed
6,a3b04025-57e7-44f3-be5f-f5f940b137b1,2023-12-12,2023-12-13,Failed
7,8c42a531-c63e-4e6b-98e2-78a8203432cf,2024-03-16,2024-03-19,Failed
8,ae68fe07-592f-4bbe-816f-30fe333353c1,2023-09-30,2023-10-03,Failed
9,964df4be-58ae-4a3f-9642-2679b523399f,2023-09-27,2023-09-30,Delivered
10,62f0ea56-7c97-479c-a698-5265133a1b69,2024-07-20,2024-07-19,Failed
11,917f58c4-b5b6-44d8-867e-c4e2cd7abbfc,2024-04-20,2024-04-21,Delayed
12,7ad3cd8f-e2ef-4376-ad14-3d4388ebb73c,2023-10-17,2023-10-16,Delayed
13,465dfab7-3b6f-405b-bdfb-b8121baebf96,2023-09-27,2023-09-26,Delivered
14,08bddde7-d932-4017-a505-822a54b38eac,2024-06-03,2024-06-02,"In Transit"
15,7683465e-39a7-47d0-8845-f69123f91305,2024-07-15,2024-07-16,Delivered
16,6daf252a-2732-48b6-8582-b2162c1ae117,2024-08-24,2024-08-26,"In Transit"
17,133da68f-7c9d-45c3-b87d-6ce2a8b42e5e,2024-04-27,2024-04-27,Delivered
18,0aa2e876-14ce-472b-94be-7fcd61a2b47d,2024-05-26,2024-05-27,"In Transit"
19,1c6065ff-c6d3-4e8d-858e-8f735836b962,2023-10-06,2023-10-08,Failed
20,696f02f5-369e-416d-b36a-d41cda1aa796,2023-10-14,2023-10-13,Failed
21,57f608ad-fb04-46ea-b9ad-8129606af9bd,2023-12-05,2023-12-07,Delayed
22,72dc3e95-3ffc-48ef-8a38-11a9f6c638c5,2024-05-31,2024-05-31,Delivered
23,e17becc3-6da1-44a2-9a96-ca452ab590f1,2024-01-01,2024-01-01,"In Transit"
24,f2c9aed0-d9f7-4502-ac5e-5c8f2d6e00e7,2024-07-03,2024-07-05,Delayed
25,6c0fd63f-6c87-4273-ac6b-049433544e72,2024-05-02,2024-05-04,Delivered
26,439ebda2-68bf-40e8-8a78-cc18e5f407fd,2024-04-24,2024-04-24,Delivered
27,c65e32d5-dacd-4423-bab3-1498a1483f24,2024-04-22,2024-04-22,Delayed
28,84fc9e4c-6a9d-44ad-abc6-0c01d4708fee,2023-12-06,2023-12-09,Delayed
29,7b76ccc4-239c-49f8-a0e0-60894c1de868,2024-06-11,2024-06-11,Failed
30,7d602914-eb50-4f54-ba5d-2d27d135676c,2024-03-15,2024-03-16,Delayed
