order_id,product_id,sales,quantity,discount,profit
12b87326-d30d-4942-a67f-a138753ecdec,380,406.88,6,0.39,111.68
dfc6854f-2f8f-4adc-a00d-c695c8d85c71,485,306.73,8,0.16,48.90
dfc6854f-2f8f-4adc-a00d-c695c8d85c71,61,1104.88,10,0.28,373.44
dfc6854f-2f8f-4adc-a00d-c695c8d85c71,5,405.41,2,0.44,109.94
fb883990-5541-4446-afc0-63412319f5cc,194,202.97,3,0.33,41.29
fb883990-5541-4446-afc0-63412319f5cc,167,1041.86,10,0.47,122.92
fb883990-5541-4446-afc0-63412319f5cc,158,640.38,5,0.47,142.29
fb883990-5541-4446-afc0-63412319f5cc,317,300.23,6,0.33,37.36
fb883990-5541-4446-afc0-63412319f5cc,65,796.94,7,0.06,141.15
30692db0-c3e7-42cf-a1a5-b766ec7d4f6b,163,81.17,3,0.13,33.33
30692db0-c3e7-42cf-a1a5-b766ec7d4f6b,296,568.00,9,0.35,104.88
5fac6e19-2b59-45d9-858b-379111e8e9b5,75,949.09,5,0.25,172.05
28efe13b-ff52-4d5c-a928-5919bb7f2a65,196,613.57,10,0.30,203.47
0d769d7d-43cb-44f9-a72e-7aa41c739d80,346,1018.96,10,0.34,68.11
0d769d7d-43cb-44f9-a72e-7aa41c739d80,325,399.30,3,0.35,82.74
0d769d7d-43cb-44f9-a72e-7aa41c739d80,359,860.81,6,0.34,213.62
0d769d7d-43cb-44f9-a72e-7aa41c739d80,309,262.59,2,0.48,40.93
e17becc3-6da1-44a2-9a96-ca452ab590f1,444,821.15,2,0.22,147.58
e17becc3-6da1-44a2-9a96-ca452ab590f1,7,1430.67,4,0.26,172.44
e17becc3-6da1-44a2-9a96-ca452ab590f1,263,645.33,10,0.38,89.13
e17becc3-6da1-44a2-9a96-ca452ab590f1,178,1053.85,6,0.34,162.61
e17becc3-6da1-44a2-9a96-ca452ab590f1,148,686.83,4,0.10,135.50
221b2806-ccb6-4ef1-b792-e9ec306c69b2,117,95.83,10,0.07,13.82
221b2806-ccb6-4ef1-b792-e9ec306c69b2,70,176.29,8,0.17,36.69
221b2806-ccb6-4ef1-b792-e9ec306c69b2,68,977.18,1,0.13,268.33
221b2806-ccb6-4ef1-b792-e9ec306c69b2,202,1174.45,2,0.24,96.19
221b2806-ccb6-4ef1-b792-e9ec306c69b2,27,163.51,9,0.16,57.98
848e1557-aa9e-46e4-9815-8cfe3588016c,36,598.19,10,0.02,152.34
848e1557-aa9e-46e4-9815-8cfe3588016c,169,69.83,9,0.29,20.75
848e1557-aa9e-46e4-9815-8cfe3588016c,400,105.52,4,0.16,42.16
44edac12-942e-4949-ac25-c78064fcfc5e,315,1195.34,1,0.14,363.47
44edac12-942e-4949-ac25-c78064fcfc5e,406,395.00,5,0.47,89.04
1201da8b-8e00-483c-a07f-45113a63a143,9,757.16,8,0.19,149.23
1201da8b-8e00-483c-a07f-45113a63a143,419,329.04,6,0.36,96.67
d6986787-3699-43c5-ab2d-bb621a72781e,114,179.70,3,0.26,37.25
d6986787-3699-43c5-ab2d-bb621a72781e,408,856.26,2,0.17,229.13
d6986787-3699-43c5-ab2d-bb621a72781e,407,273.79,7,0.27,56.27
d6986787-3699-43c5-ab2d-bb621a72781e,195,641.90,7,0.00,73.14
f18af684-9f1b-45a9-b439-d53726415c7a,231,158.87,9,0.39,44.48
f18af684-9f1b-45a9-b439-d53726415c7a,440,726.41,10,0.42,154.84
f18af684-9f1b-45a9-b439-d53726415c7a,362,725.23,2,0.30,122.60
f18af684-9f1b-45a9-b439-d53726415c7a,135,287.38,1,0.25,34.23
94ed1351-ff64-4ac4-b1ea-36ce88199ddc,339,352.05,8,0.03,79.84
94ed1351-ff64-4ac4-b1ea-36ce88199ddc,129,1352.16,4,0.19,502.27
b20878c6-7aa0-46c9-800b-4a3bba4b9787,77,1047.94,8,0.28,80.72
b20878c6-7aa0-46c9-800b-4a3bba4b9787,165,1140.16,6,0.23,272.51
b20878c6-7aa0-46c9-800b-4a3bba4b9787,229,969.33,7,0.48,79.75
b20878c6-7aa0-46c9-800b-4a3bba4b9787,474,674.84,4,0.14,233.82
b20878c6-7aa0-46c9-800b-4a3bba4b9787,469,674.47,9,0.37,117.65
4bd82227-4346-4839-9822-adaf39d27d24,444,960.06,10,0.15,238.49
4bd82227-4346-4839-9822-adaf39d27d24,128,518.04,3,0.26,153.15
4bd82227-4346-4839-9822-adaf39d27d24,415,587.59,4,0.42,45.83
4bd82227-4346-4839-9822-adaf39d27d24,494,338.57,8,0.21,105.92
f99a1970-f5ca-4fed-b563-68fef66ad46a,60,66.27,5,0.34,17.27
f99a1970-f5ca-4fed-b563-68fef66ad46a,265,682.95,1,0.08,192.89
f99a1970-f5ca-4fed-b563-68fef66ad46a,422,328.40,5,0.26,86.17
d769bd5d-6973-4355-b1d6-c2728295d094,264,569.80,9,0.47,60.59
d769bd5d-6973-4355-b1d6-c2728295d094,266,678.46,8,0.13,273.01
d769bd5d-6973-4355-b1d6-c2728295d094,291,1029.74,9,0.38,91.35
d769bd5d-6973-4355-b1d6-c2728295d094,427,380.87,8,0.09,73.28
ab18a672-b493-46a1-ad68-b276da3ee6cc,471,223.03,4,0.24,28.75
ab18a672-b493-46a1-ad68-b276da3ee6cc,95,741.62,8,0.42,161.79
ab18a672-b493-46a1-ad68-b276da3ee6cc,285,939.63,5,0.25,335.06
ab18a672-b493-46a1-ad68-b276da3ee6cc,348,507.08,5,0.25,151.40
2870fd32-b115-4bac-8a5b-04a94d52ac1a,238,802.10,6,0.16,186.45
2870fd32-b115-4bac-8a5b-04a94d52ac1a,33,701.22,2,0.41,118.44
a06cd13b-ecc8-4109-bec5-042947339a61,167,775.44,4,0.17,230.84
a06cd13b-ecc8-4109-bec5-042947339a61,408,194.90,5,0.03,58.77
a06cd13b-ecc8-4109-bec5-042947339a61,28,1160.93,9,0.13,153.00
a06cd13b-ecc8-4109-bec5-042947339a61,134,647.41,8,0.04,68.16
822bacb1-03af-4b18-b217-e12fd36505f9,205,287.59,7,0.22,66.18
822bacb1-03af-4b18-b217-e12fd36505f9,21,580.15,7,0.39,87.36
822bacb1-03af-4b18-b217-e12fd36505f9,6,220.66,1,0.47,23.78
84104367-ff7e-4f4d-a768-d35daf547be7,487,393.39,5,0.07,166.53
84104367-ff7e-4f4d-a768-d35daf547be7,371,184.68,8,0.30,37.59
84104367-ff7e-4f4d-a768-d35daf547be7,104,729.77,3,0.14,223.19
84104367-ff7e-4f4d-a768-d35daf547be7,479,351.29,9,0.05,67.60
84104367-ff7e-4f4d-a768-d35daf547be7,215,89.19,9,0.15,34.23
c4c83cf6-d3bd-427a-9e62-5b8c85f8b7c0,401,376.07,4,0.41,65.81
c4c83cf6-d3bd-427a-9e62-5b8c85f8b7c0,450,933.43,1,0.30,314.94
c4c83cf6-d3bd-427a-9e62-5b8c85f8b7c0,419,864.52,6,0.14,222.96
c4c83cf6-d3bd-427a-9e62-5b8c85f8b7c0,441,923.02,9,0.03,200.31
c4c83cf6-d3bd-427a-9e62-5b8c85f8b7c0,4,543.80,6,0.44,48.88
18eb5793-8747-4232-8fd8-e71f5751cb28,344,357.89,3,0.27,44.67
18eb5793-8747-4232-8fd8-e71f5751cb28,61,537.13,6,0.17,165.84
e3ec57ce-05a1-4ac7-8f21-3124e59674ce,488,746.20,6,0.19,115.54
e3ec57ce-05a1-4ac7-8f21-3124e59674ce,162,370.62,6,0.21,55.12
6a05c7b6-7935-4737-a8f1-37299bb5f5cf,369,282.57,4,0.22,107.78
6a05c7b6-7935-4737-a8f1-37299bb5f5cf,309,712.88,2,0.38,213.14
6a05c7b6-7935-4737-a8f1-37299bb5f5cf,24,55.49,8,0.29,15.07
6a05c7b6-7935-4737-a8f1-37299bb5f5cf,285,533.27,10,0.26,171.31
6a05c7b6-7935-4737-a8f1-37299bb5f5cf,136,639.25,5,0.13,209.60
16c484ad-65f6-4be2-a580-ed8fe9e65984,458,1294.37,7,0.21,455.09
16c484ad-65f6-4be2-a580-ed8fe9e65984,422,1179.92,8,0.35,354.11
0b16ff45-7447-4cc9-97fd-577a571b9422,239,75.78,7,0.43,10.40
0b16ff45-7447-4cc9-97fd-577a571b9422,389,223.71,7,0.27,40.23
0b16ff45-7447-4cc9-97fd-577a571b9422,432,355.22,6,0.28,87.32
0b16ff45-7447-4cc9-97fd-577a571b9422,9,266.22,3,0.13,44.90
c684dc72-57d9-4150-8fae-ea83fa7fd245,68,18.07,1,0.23,3.03
c684dc72-57d9-4150-8fae-ea83fa7fd245,479,860.13,9,0.40,96.22
c684dc72-57d9-4150-8fae-ea83fa7fd245,496,192.78,8,0.09,39.07
f1868e6f-f09c-4623-87de-94ecd035a096,287,430.60,6,0.46,77.57
f1868e6f-f09c-4623-87de-94ecd035a096,442,500.94,2,0.34,104.52
f1868e6f-f09c-4623-87de-94ecd035a096,396,928.57,6,0.20,78.67
f1868e6f-f09c-4623-87de-94ecd035a096,196,63.63,4,0.45,8.44
98a8058d-4900-43ff-8966-af7014613fe5,234,894.94,10,0.41,256.01
98a8058d-4900-43ff-8966-af7014613fe5,122,310.93,8,0.02,46.81
98a8058d-4900-43ff-8966-af7014613fe5,260,799.21,4,0.23,206.27
0a0bf89c-14a7-4cf2-b9b5-2a3011532d5f,16,866.56,4,0.21,340.82
0a0bf89c-14a7-4cf2-b9b5-2a3011532d5f,254,1339.21,7,0.08,427.58
0a0bf89c-14a7-4cf2-b9b5-2a3011532d5f,156,789.49,1,0.44,204.27
69bc1c39-5d1f-4a43-af60-532e58f68aa5,441,644.53,9,0.38,51.19
159b3fbf-5e43-4452-b2de-9e5582d5f37b,362,135.71,3,0.21,14.01
159b3fbf-5e43-4452-b2de-9e5582d5f37b,464,10.21,5,0.32,3.12
f7740719-d9a6-46f3-814b-8070c0137f68,376,500.39,7,0.11,48.10
f7740719-d9a6-46f3-814b-8070c0137f68,248,680.54,6,0.19,256.99
f7740719-d9a6-46f3-814b-8070c0137f68,342,203.35,4,0.40,42.50
f7740719-d9a6-46f3-814b-8070c0137f68,132,189.81,3,0.26,30.82
f7740719-d9a6-46f3-814b-8070c0137f68,389,13.36,10,0.07,1.56
