delivery_id,order_id,estimated_delivery_date,actual_delivery_date,delivery_status
1,3b2744e6-647d-42c4-8e87-438d456da1d6,2024-02-25,2024-02-24,Delayed
2,68c82a1b-afad-4ece-8c42-5f94a71de99a,2023-12-26,2023-12-29,Delayed
3,afe86edc-5ee4-48e5-ac35-50868e1d5086,2024-08-19,2024-08-22,Failed
4,e84980fd-7b9b-4927-bbcf-1439ed5e405a,2024-08-28,2024-08-28,Delayed
5,8425ffc6-7c4c-4d39-8df9-6196dd8d882e,2023-11-06,2023-11-07,Delivered
6,ef39fe97-5a5b-458f-95eb-691a8a90041b,2024-02-29,2024-03-01,In Transit
7,de3a7452-56e3-437e-87cb-8fa22d581cc3,2024-02-22,2024-02-21,Failed
8,1b0082f9-e825-4cf0-9871-dd8ea53ce515,2024-02-16,2024-02-17,Delayed
9,0b3b6f86-3d45-4c81-85f4-17e836d1cfd8,2023-10-23,2023-10-25,Delayed
10,3849001d-f6a0-48c5-86be-1ccbc3a95cf8,2024-01-28,2024-01-27,In Transit
11,4f24eb38-313f-466e-8614-24fefef5e4fe,2023-10-15,2023-10-17,Failed
12,7e73b386-945f-42d0-9946-7cb6097475e5,2024-05-31,2024-06-02,In Transit
13,81418e77-3436-4f59-a4d6-079da5bb7fdf,2024-06-19,2024-06-22,Failed
14,34a40033-bf53-4fdb-b627-d383badc83ce,2024-08-21,2024-08-22,Delivered
15,92c94495-417f-492d-9342-a1b753eda0ad,2024-03-06,2024-03-08,Delivered
16,d99948e1-95ef-492c-8931-5da1b006d8ed,2024-04-16,2024-04-15,Failed
17,cf6b3000-2f93-433c-b75b-20e6ba10a86f,2024-04-07,2024-04-09,Delayed
18,a97393d5-d2dc-4384-bcde-653414d4afdd,2024-06-01,2024-05-31,Failed
19,b6a12bb7-31d3-4bf8-bb5b-fc095bcc92e8,2023-10-27,2023-10-28,Failed
20,72506009-684b-46ba-a914-430a935a62fb,2023-12-15,2023-12-17,In Transit
21,9f92572a-6c81-4db9-ba82-5b62d0529062,2024-07-07,2024-07-10,Failed
22,98134d0a-3625-4520-9292-f8aafc8f7670,2024-03-29,2024-03-28,Delayed
23,1f47c48a-363d-4da3-b8f6-c16f9d4c52f5,2024-04-11,2024-04-10,Delayed
24,6bf6e5fc-7dd2-4018-8cff-da068fd2a781,2023-11-08,2023-11-11,Delivered
25,b24806b4-92ea-4543-ab32-f4ed288de6fe,2024-03-12,2024-03-11,Delayed
26,80012aa5-362b-4c5d-a7f7-3e47acc814e6,2024-06-10,2024-06-10,In Transit
27,2a51d4bf-c9c7-4fe6-a553-cb681f47b242,2024-05-21,2024-05-20,Delivered
28,d7af99b3-7b06-4688-8a7d-2209c001dc00,2024-03-20,2024-03-19,Delayed
29,a93ec9f1-83f6-4a2d-81fc-80ba037a3ed4,2023-11-28,2023-11-30,Delivered
30,b954b850-b820-4dea-855b-288fc7c13e68,2024-01-25,2024-01-25,Failed
31,7adf716f-db64-44e7-8e7a-45247c2d4370,2023-11-23,2023-11-25,In Transit
32,79ea7e01-e6b4-486a-8c0e-2c6e8cdfbc6b,2023-11-14,2023-11-17,Delivered
33,d52abbb4-4354-4cb2-aba3-1982b2bf1e01,2024-08-13,2024-08-14,In Transit
34,459cda3e-813c-4f6b-a726-29495dcc7f9f,2024-01-20,2024-01-20,Failed
35,2f75dd62-d5c0-4028-a5e9-7a9dac4d2a21,2023-11-04,2023-11-07,Delivered
36,43c74c57-5289-422e-9733-96f5695436db,2024-03-30,2024-03-30,Failed
37,2e3933f1-6cb9-4e76-8bad-af2a31082705,2024-06-28,2024-07-01,Failed
38,e712bc41-60de-43b1-9d20-786b7b7369a0,2023-10-26,2023-10-25,Delayed
39,ba30c957-6fe4-4007-aa31-5d2189151479,2024-07-30,2024-08-02,In Transit
40,5d4c06c2-ae58-4e6c-825a-08537123ce40,2024-05-01,2024-05-01,Delayed
41,cf5133e6-2aa6-45db-9448-44124235bdd1,2023-11-27,2023-11-29,Delayed
42,199f6eac-4f6b-411c-b0d9-c80ed2824ab0,2024-04-08,2024-04-08,Delivered
43,4dd5bf2f-40ca-40e1-a98b-3edf82b13394,2024-06-10,2024-06-09,Delivered
44,a8a33175-f38b-4bda-92d6-b113c001c6b4,2023-11-01,2023-11-02,Delivered
45,3c132e5c-00e2-4bf3-979d-81740e515b16,2023-11-19,2023-11-22,Delayed
46,e63f3585-6f26-4c6d-a470-dfec960c9380,2024-05-17,2024-05-17,In Transit
47,094bb515-43f1-4a6c-90ad-0d97415d968b,2024-02-05,2024-02-07,Failed
48,46b60b17-2269-47d4-ad92-b70df9d85663,2024-05-16,2024-05-17,Delayed
49,299cf74b-7e57-40b8-8045-756fb19b27f0,2023-11-23,2023-11-23,Delivered
50,3e37a226-977b-4ff9-8064-cd69797ed394,2024-08-27,2024-08-30,Delivered
51,1a395512-412a-49cf-beb3-10ee56864161,2024-05-01,2024-04-30,Delayed
52,f255b0e1-714e-469c-99ca-a6c66464470c,2024-03-30,2024-03-29,Failed
53,541b94d2-ce11-46a0-9068-f0e3e8e56c72,2023-10-20,2023-10-20,In Transit
54,21f07c1c-7da7-47f8-a748-dbf8dd7adaac,2024-05-29,2024-05-28,Delayed
55,0d09ca5b-8a11-4b1b-92f5-ad2f37e80b9b,2024-09-01,2024-09-04,Failed
56,87fa77f5-6f9e-491d-b005-65a787df2564,2024-09-04,2024-09-03,Delayed
57,be5a680c-f5d5-4f67-b4b2-ad4bbbbf26c6,2024-06-30,2024-06-29,Delivered
58,ef7d5d88-0175-4faf-981b-c5928094c187,2023-11-28,2023-11-29,Delayed
59,c8a9953b-a56a-42c3-abfa-051d54feb79a,2024-06-23,2024-06-22,In Transit
60,4be06acf-788f-486c-8a95-c14670d2d452,2023-09-10,2023-09-10,In Transit
61,f082bd3d-7a9b-407a-87a5-056029223c8c,2024-06-11,2024-06-10,In Transit
62,7b9bda4a-62aa-440b-a402-18086e76a9a1,2024-04-20,2024-04-19,Delivered
63,65a1811b-4281-4422-9713-da7bc3da5865,2024-04-11,2024-04-10,Failed
64,e359d766-e92b-43ab-bc4d-3ba58b8cf209,2024-07-06,2024-07-05,Delivered
65,c8434294-f9b1-41aa-94d3-c088219ae77f,2023-09-14,2023-09-16,Delivered
66,66bb01d9-e0e6-485a-8cbb-38306211715c,2024-06-24,2024-06-23,In Transit
67,29d0b9eb-b0de-4e1f-adc1-c1423d9db106,2023-09-06,2023-09-08,Delivered
68,e82dc7f8-7838-4a0f-8b4a-f16bffdba7c4,2024-01-09,2024-01-08,Failed
69,32b0b2ba-01cd-44ac-9d3c-b1ddbe38d694,2024-08-23,2024-08-26,Delayed
70,b604e34b-6a31-4018-9584-77869ac7a79d,2023-09-26,2023-09-29,In Transit
71,a8561d36-43e8-40e6-9565-541bc8e8c544,2024-01-24,2024-01-24,Delivered
72,4d88e2a2-1b9b-4bf1-be86-a1a8c16280e9,2024-06-18,2024-06-17,Delivered
73,ed02588f-9936-4a5d-b551-c10b9c835771,2023-10-10,2023-10-09,Failed
74,9a840c8a-bc69-4325-864b-4b6c7c5d4956,2024-08-30,2024-09-01,In Transit
75,3f1ac76a-3344-4b12-895b-866207984d91,2024-08-14,2024-08-17,Delivered
76,98cbc9e5-ca43-43b2-9510-064121800c52,2024-03-30,2024-03-29,Delivered
77,9e726fb0-7758-4fb6-9221-bafa24064259,2024-03-31,2024-03-31,Delivered
78,f88288f1-e96e-4af8-864c-394fc178b46b,2023-09-04,2023-09-05,In Transit
79,a620ad3a-2828-4a17-be60-e093ebfc284e,2023-10-10,2023-10-13,In Transit
80,65b80b73-d49b-4ea4-8de7-0618348cf8bd,2024-07-06,2024-07-06,Failed
81,e60d4da3-5c80-4cfd-b8ce-3913eb9c12c8,2024-03-16,2024-03-16,In Transit
82,493e8bd3-ac50-4697-8cb6-387245319fc6,2024-02-18,2024-02-19,In Transit
83,9846f89e-7d02-45d0-bea2-95da66b896d8,2023-12-08,2023-12-10,Failed
84,f7f7e433-431b-4497-a9e1-fc2c106d8158,2024-01-04,2024-01-07,Delivered
85,dd63fbe2-8757-4f13-8476-319f9bc392ce,2024-01-23,2024-01-26,In Transit
86,b7e8cb91-356d-4130-8e68-bbb35f2a8005,2024-03-08,2024-03-07,Delayed
87,99219aa4-70f0-4a72-9ec0-716ed1cd193c,2024-08-07,2024-08-07,In Transit
88,f7dfa32d-39b9-45d3-b58b-6d32ad1fea80,2024-04-08,2024-04-09,Failed
89,3e99131f-a423-407a-91b0-936f547cd20d,2024-04-09,2024-04-08,Delivered
90,20858770-f68d-4c2c-b91a-5a65e13d7122,2024-07-19,2024-07-22,Delayed
91,877ad82a-fa4f-40ce-9bf7-a306d2b2a581,2023-11-14,2023-11-17,Delayed
92,cd9b2db2-4586-444d-a5b0-a413cdc66bda,2024-02-15,2024-02-15,Delayed
93,bb344e15-e9ab-45d0-85e0-9893562e4319,2024-03-21,2024-03-24,Failed
94,504f6d40-4ed5-4f23-8d51-e1bf14a2bb32,2023-11-26,2023-11-28,Failed
95,314355a4-9408-45a1-b2c9-8c8b33b03b0a,2024-03-03,2024-03-02,Failed
96,12572a7c-2d4e-41f2-99dd-41ccb9ce1567,2024-03-27,2024-03-29,Failed
97,67f5bacb-564b-4f4b-ac7b-c098fa91f66c,2024-03-27,2024-03-29,In Transit
98,33eb8616-42cb-46b6-84a1-dc738114eea4,2023-12-28,2023-12-28,Failed
99,c5cec201-ff3a-4fde-beb0-bb9d4cf62674,2023-11-09,2023-11-12,In Transit
100,7c79eef2-dcff-4140-8b50-4e251894bd1a,2024-06-29,2024-06-29,Delayed
101,070f111a-88d8-4a69-a59b-f348b4cb995b,2024-03-03,2024-03-02,Delayed
102,24d4f0db-6b7e-4ced-97bc-d49d9c31d885,2024-08-19,2024-08-22,In Transit
103,f77fca0d-eb69-4859-b444-1fc55457ddf9,2024-06-21,2024-06-23,Delayed
104,1cb94ad6-7b0b-4048-8a5f-3e2b5b3d5f94,2023-09-17,2023-09-20,Delayed
105,f26cb0ff-2861-4ffc-9cb2-c6aaca817e1e,2024-03-30,2024-03-29,Delivered
106,ebb31673-5ba0-4528-aace-170d44176c26,2024-07-18,2024-07-19,Delivered
107,8d30a64a-757c-4ca7-8c6d-650db09705e0,2023-12-21,2023-12-24,Delayed
108,7d415541-205d-4f62-abf1-74ba8af5f843,2024-01-11,2024-01-14,Delivered
109,cb572a6a-367b-42c8-949e-2379f56bbc1c,2024-02-19,2024-02-19,Failed
110,b5986bc5-fbdd-4e06-9f42-f1735df0e4bb,2024-08-23,2024-08-23,Delayed
111,a181754a-bd88-4593-8162-407dc119ea12,2024-08-27,2024-08-27,In Transit
112,3abc5dc3-0c0a-412e-8fdb-a76d5512fd3d,2024-08-03,2024-08-04,Delivered
113,3d512b6c-5525-43c5-9b13-2d3aae44ce5d,2024-04-21,2024-04-24,In Transit
114,cd84fbed-b001-4ccd-b856-ea8145394ced,2024-05-15,2024-05-17,Failed
115,c853a1a7-2744-420e-9585-bc423261d804,2023-12-29,2023-12-29,In Transit
116,313ec7d3-51a9-46d3-99c7-0f8d78f3dead,2024-08-07,2024-08-08,Delayed
117,a33d4dc6-9cb0-4583-bee5-07a5b85e82e5,2024-06-18,2024-06-17,Failed
118,e9886b2f-4efc-4f7e-bc5b-d1f0659ed2ed,2023-09-22,2023-09-22,Failed
119,4aa82817-cd06-4de9-a763-3bea45c6a15f,2024-02-06,2024-02-07,In Transit
120,40d03fed-b04a-4b96-aae7-97a5bb81540d,2023-11-11,2023-11-11,Delivered
121,c184505a-cc32-46e3-8856-624739c090f5,2024-05-23,2024-05-23,Delivered
122,b0f8d9fe-4397-4438-80f7-5293c15f46c4,2024-06-02,2024-06-02,Delayed
123,2fe4dbdd-b842-414b-a17d-7352a5027806,2023-11-30,2023-12-03,In Transit
124,1cc0c670-0364-4880-ad87-9f70aa516c48,2024-01-31,2024-02-03,Failed
125,8811529d-4337-4eb2-a76b-7990068ca7ad,2024-03-09,2024-03-09,Delayed
126,267a859e-b6bb-4e1c-aae8-2f9a2b6b8f33,2023-10-07,2023-10-10,Delayed
127,d57cde20-0566-413f-89cc-361d85b40798,2023-11-24,2023-11-27,In Transit
128,339237ab-1538-437d-8927-d6d5cb946281,2023-09-06,2023-09-08,Delayed
129,4e552dc2-01d8-49d7-b598-8b7086d38763,2024-03-19,2024-03-20,Delivered
130,c67810ba-3a8c-4f12-b78c-223fa6c8a81a,2024-02-12,2024-02-11,In Transit
131,7c6f48f4-08f4-4101-8cd5-61b84148d156,2024-07-30,2024-07-30,In Transit
132,439637c4-b9eb-4c71-9379-2003c7c360f1,2024-07-23,2024-07-24,Delayed
133,6e50e8d8-1718-4b63-a177-44466718cd16,2024-06-21,2024-06-21,In Transit
134,e84f402e-7d1e-41c9-a876-8b68dbeb2fe6,2024-04-25,2024-04-28,Failed
135,29e37e91-bd8f-499c-a2cc-bea926b08b40,2024-08-27,2024-08-28,Delivered
136,0008bb45-3ae9-4318-bf76-59b2a925a533,2024-08-13,2024-08-14,Delayed
137,480c5a30-633d-4d94-b857-60500a2d7ab5,2024-07-21,2024-07-20,In Transit
138,2f1f4e8b-34a8-4f5c-bc5c-0d1d65a2d583,2024-02-13,2024-02-15,Failed
139,c5c5da9b-ef95-4ac5-9e71-3df102f7a5bd,2024-01-18,2024-01-18,In Transit
140,24235a88-be29-4047-93b1-99ea76c33d45,2023-10-18,2023-10-19,Delivered
141,cccffa93-0f76-4b51-9633-299ce3f9913a,2023-09-08,2023-09-10,Failed
142,d301bf52-0f50-4179-8855-29055b2c792c,2024-05-19,2024-05-20,Failed
143,b1a300bb-f012-428f-b168-c6d5c59ffa0b,2024-03-10,2024-03-13,Delivered
144,9411e536-9503-4563-9df6-fa80155a1ebc,2024-05-29,2024-05-30,Delivered
145,81076273-8dff-4e00-a8ca-dfabc17b6442,2024-08-25,2024-08-24,Delayed
146,bd780ec1-ddf1-4c8a-95b3-260b4b85ddde,2024-07-06,2024-07-09,Delivered
147,8bed339e-1c3e-4167-b056-9ba621c6e6d5,2023-09-27,2023-09-30,In Transit
148,73e32363-d437-4a6e-b404-538b25717e4f,2024-08-03,2024-08-05,In Transit
149,a00f8b0f-c06c-4221-8ca3-7f2115647367,2024-04-01,2024-04-02,Delayed
150,648eb548-650c-4d51-bff4-7b4b9b336e0a,2024-05-04,2024-05-07,Delayed
151,65345dac-90dd-4465-8b64-ac46f9eac7b0,2023-11-26,2023-11-29,Failed
152,3732aebf-5cc0-4a4b-ad67-107ab387402e,2024-06-08,2024-06-10,Delayed
153,228bb7f0-c76f-4d97-83a4-6939a0357699,2024-08-17,2024-08-17,Failed
154,a43a1739-e779-42fa-ae83-36c3a9c808d4,2024-07-14,2024-07-16,Delivered
155,ac02703f-af85-4a51-944c-ee6f3484e733,2023-11-24,2023-11-23,Delivered
156,8549010c-0b8a-419c-9dd7-48495fe6dcff,2023-12-12,2023-12-15,Delayed
157,6059936d-768c-4ef9-8957-a3abf9829320,2024-02-26,2024-02-25,Delayed
158,3007da77-66a5-46a5-9efc-010ccf50ec2e,2023-11-11,2023-11-13,Delayed
159,87b8b643-0580-4d64-a49d-53b6c6fef6be,2023-11-27,2023-11-26,In Transit
160,d92d1914-67b1-437f-9fdc-c0fc703ffc23,2024-08-16,2024-08-19,In Transit
161,1a395512-412a-49cf-beb3-10ee56864161,2024-05-02,2024-05-02,Delivered
162,ba801401-4088-4e4e-bd6c-34797578c505,2024-08-13,2024-08-16,Failed
163,0fcd3d60-2c6e-43cd-8162-6e3c16f4e7ae,2024-05-25,2024-05-27,In Transit
164,01521c5f-eb38-46ca-92f9-25918bfa37a2,2024-06-07,2024-06-10,Delivered
165,2a51d4bf-c9c7-4fe6-a553-cb681f47b242,2024-05-21,2024-05-24,Failed
166,193b2b51-b6c3-4638-8a5b-582cf4408fee,2024-06-03,2024-06-02,Delayed
167,f555b5f0-5adb-487a-9612-f311d77979d6,2024-06-30,2024-07-03,Delayed
168,64dd3efd-57bd-42cc-9701-207b2fe09154,2023-11-09,2023-11-08,Delivered
169,91e4e3b1-9ea7-4d7d-ab09-853d2803cf1c,2023-10-23,2023-10-23,In Transit
170,7bc67d3a-e9b1-45b3-a0e8-3518043ee14c,2023-12-23,2023-12-24,Delayed
171,eb4e771b-a0b0-4fd8-85b7-b4ee47ec5538,2023-10-27,2023-10-28,Delivered
172,c45592d6-a32b-4d81-bd3d-8447ac6c9eeb,2023-11-08,2023-11-10,In Transit
173,952f9d58-e555-4c27-a1b2-8d92c293a9c1,2024-03-19,2024-03-20,Delivered
174,debc296d-a175-4dc0-a62a-fba05d39295c,2024-06-10,2024-06-10,Failed
175,5576ed49-ab63-4bfe-95dc-33c1d816d635,2024-04-23,2024-04-25,Delivered
176,0f4085e6-a600-463f-b169-73e817f2bcb8,2023-12-17,2023-12-18,In Transit
177,0b3b6f86-3d45-4c81-85f4-17e836d1cfd8,2023-10-24,2023-10-24,Delivered
178,a6ef6c5c-4772-47e3-b518-29a75e1d733e,2023-10-09,2023-10-12,Failed
179,d3e4d938-bfac-4543-9b1f-3790bfd25907,2024-03-14,2024-03-14,Delivered
180,f4cedec3-d21f-4bf5-8e3d-cca787b3e024,2024-02-02,2024-02-04,Failed
181,836c7649-d008-4bb8-9ee4-9bffd7fcead4,2024-05-12,2024-05-13,Delayed
182,172a809b-d773-4f78-ab0b-6527bdf643a7,2024-01-16,2024-01-17,Delayed
183,2c8ef696-9db4-412a-9c40-5cdf9f9a2dd4,2024-03-15,2024-03-16,Failed
184,c5cec201-ff3a-4fde-beb0-bb9d4cf62674,2023-11-09,2023-11-11,Delayed
185,16b96f9f-3e3e-4707-8664-82231859e1d5,2024-05-16,2024-05-18,Failed
186,a75f1667-752b-4c19-b1f6-0a37baa31852,2023-09-25,2023-09-24,Failed
187,639407fc-00e0-4dd4-ae78-9c2d4ca49134,2024-08-26,2024-08-25,Delivered
188,ed2d84f6-c0a4-4452-9839-8898ef89d98b,2024-08-21,2024-08-21,Delayed
189,cccffa93-0f76-4b51-9633-299ce3f9913a,2023-09-10,2023-09-11,In Transit
190,45b2ca99-9af4-4c6b-bd2a-324aa0b81751,2024-07-16,2024-07-16,Delayed
191,3304873a-ec03-4a31-8a7f-c8e01150d500,2023-12-25,2023-12-28,Failed
192,741e6d85-c409-44b8-8a19-aa8aa9155c14,2023-11-13,2023-11-15,Delivered
193,ff7aebc0-a958-4e49-9579-4269072d584f,2023-12-04,2023-12-07,Delivered
194,3899f7b1-9469-4166-9027-dd14bad27a8e,2024-06-23,2024-06-26,Delivered
195,48d6a24a-f45f-404a-a42c-0490bc5ece82,2024-01-15,2024-01-15,Failed
196,9fdcaccb-da7a-4b00-bf8f-8a7f82e8d1a1,2023-11-02,2023-11-04,Delayed
197,aace49de-4f11-4379-94c4-29bb338ee183,2024-07-08,2024-07-08,Delayed
198,9319db87-9b11-48aa-b557-1ef4f27c0fc7,2024-07-04,2024-07-07,Delayed
199,d0a92740-e507-4c67-8b25-59f747380a61,2024-03-19,2024-03-22,In Transit
200,bf1b3a83-4327-4a17-b3b6-98f8b6d73643,2023-10-21,2023-10-22,In Transit
201,267a859e-b6bb-4e1c-aae8-2f9a2b6b8f33,2023-10-07,2023-10-08,Failed
202,899d139b-f5f3-45fd-9815-47bbd727c903,2024-03-29,2024-03-31,In Transit
203,94b2fd6c-ade3-40a4-9f17-dce09543ca68,2024-08-10,2024-08-11,In Transit
204,48c7c199-f8c4-41b2-80f4-ded43582cb63,2023-11-27,2023-11-26,Delayed
205,931c26f8-08dc-430b-b7ef-9a78afd05084,2024-04-18,2024-04-17,Failed
206,483baa5b-8465-439c-a5a2-497e2330e7f5,2024-04-04,2024-04-03,Delayed
207,c574da71-d296-44b7-ac28-5c7c1675928b,2023-10-06,2023-10-09,Failed
208,ec9fb62d-f46c-4bee-ae39-f9d04879df76,2023-09-27,2023-09-27,Failed
209,3c5cdca2-8132-44a6-81af-c85a00c96fd5,2024-07-21,2024-07-20,Failed
210,ca640647-1f9c-4f62-a6f7-985a50c4e757,2024-02-27,2024-02-26,Failed
211,86868dd1-b430-4796-a205-b0613afbf244,2024-01-28,2024-01-31,In Transit
212,d7af99b3-7b06-4688-8a7d-2209c001dc00,2024-03-20,2024-03-21,In Transit
213,ebfbb202-cd04-4335-801a-e7006e331a9d,2024-03-10,2024-03-10,Delivered
214,3b922fbf-457e-45c3-9b6c-101f0d8a15c2,2023-12-30,2023-12-29,In Transit
215,78ab069a-2e6c-4033-aff0-fc912950ae5f,2024-07-28,2024-07-31,Delivered
216,a56d7465-0c5b-4c39-8a04-ba986383faff,2024-01-25,2024-01-26,Delayed
217,425bf4ce-2ce4-48fd-b665-a73bb65140cd,2024-03-19,2024-03-22,In Transit
218,5f382e80-6f8a-4950-b1ed-8925ded579bd,2023-09-25,2023-09-26,Delivered
219,26d58fa5-0365-420b-92f1-afa49cec9ab8,2024-01-13,2024-01-13,Failed
220,9b79da77-de3f-4992-ab21-ebb5c3795eaa,2023-11-17,2023-11-16,In Transit
221,a543a681-683a-4e53-949f-7ddc83bb0154,2023-09-06,2023-09-05,Delayed
222,b8ee2bef-a749-4853-90ea-bdb29fc21781,2024-01-07,2024-01-06,Failed
223,915e81f9-ef77-4dde-887b-a4ad90bee15d,2024-01-22,2024-01-22,In Transit
224,8dfdbd84-91cb-457c-bc62-3c9d5a6171f3,2023-10-06,2023-10-07,Delivered
225,e712bc41-60de-43b1-9d20-786b7b7369a0,2023-10-23,2023-10-22,In Transit
226,1e5bd06f-cff1-464e-aa66-f8326be39c10,2024-08-03,2024-08-05,Failed
227,cf74bc63-7a6e-4230-bd69-f0261445f5ac,2024-04-25,2024-04-28,Delayed
228,d36a1a44-8a55-44dc-ab8f-90ad29767fe5,2024-04-16,2024-04-16,Delivered
229,10975bfb-8298-4817-a35a-3feb3b177540,2023-10-31,2023-11-01,Delayed
230,31f34ff5-0a10-4584-b8e8-1b4f86f53ccc,2023-11-16,2023-11-17,Delivered
231,ff12fa11-9952-49c0-bf46-77d986f4c900,2023-11-20,2023-11-23,In Transit
232,26e79919-35dd-4c47-8bc6-26a7e2828f06,2024-03-13,2024-03-15,Delivered
233,83ec0216-30e0-4d99-86c7-c74ad1e38b49,2023-11-27,2023-11-26,Failed
234,21ef0eb7-ba99-4519-a666-148a47380d57,2024-08-18,2024-08-21,Delivered
235,68e414df-00c6-4542-9a06-6266a3403890,2024-04-25,2024-04-24,Delayed
236,981bfa64-5714-4ed0-96a4-5f4dfd087160,2024-01-14,2024-01-13,Delivered
237,a3963ec7-164d-4ea1-b00a-ad53afdd4601,2024-04-01,2024-04-03,Delivered
238,dc57052a-8823-4525-a1f7-9858df50bb2b,2024-07-27,2024-07-30,Delayed
239,3e1ba07a-668a-4d0a-8f45-acf3f8d0d325,2023-12-05,2023-12-07,Delayed
240,6ed4f448-c8c4-4454-9a6a-52e9d8832940,2023-10-21,2023-10-22,In Transit
241,3e95e4d9-6397-47a4-8787-be73b56c822e,2024-04-05,2024-04-04,Delayed
242,83261ee5-351c-4f38-a6ea-55e39fcf6f83,2024-06-12,2024-06-15,In Transit
243,0831e772-bc8b-4399-9510-683cac79bed0,2023-10-21,2023-10-23,Failed
244,9da0dd06-9b31-48a2-a0d7-56ff1f970d70,2024-04-19,2024-04-19,Delivered
245,dd9475fe-4fc0-4b2e-8f29-9ae99366dc7d,2023-10-26,2023-10-25,Delayed
246,2b33d00c-169c-4879-87ed-ea3113026d2b,2024-06-26,2024-06-26,In Transit
247,dd04306b-4c8b-4d1b-9912-3160aca262e1,2024-07-16,2024-07-15,In Transit
248,92de7050-baa1-4f9a-8a8b-3ce0e1845d06,2024-08-07,2024-08-08,Failed
249,7233ee46-1da5-4105-91cd-1faf4b22a007,2024-01-16,2024-01-16,Delayed
250,ae221018-c373-411e-95a6-3299c023fa8b,2023-09-13,2023-09-12,In Transit
251,51cdb167-61f9-4bb0-ad92-de5a5576ae9b,2023-09-07,2023-09-08,Failed
252,a6ebda32-75f3-4ef3-b7d8-473be1a46e47,2023-10-11,2023-10-10,Delayed
253,9d07f6f8-3d5e-49e1-ad9b-171f39109f82,2024-01-09,2024-01-11,Delivered
254,26b7731b-3fde-4432-9e0b-c45ef0e7d3a4,2023-12-13,2023-12-13,Delayed
