order_id,product_id,quantity,sales,discount,profit
0ce6d191-4d13-4018-8fbb-4cbc73b30fda,170,6,372.56,0.39,52.99
0ce6d191-4d13-4018-8fbb-4cbc73b30fda,125,8,88.98,0.4,12.53
0ce6d191-4d13-4018-8fbb-4cbc73b30fda,1,7,987.06,0.27,289.11
df7cbf58-3b7f-4d97-a51f-587adad491fb,464,8,504.95,0.09,149.48
a5bbcc90-85e5-4d37-868f-a4a913fb9fd0,159,4,471.61,0.17,170.25
1f1f3f09-25c1-4735-bee7-1a2d04894cf6,333,9,571.83,0.14,116.78
1f1f3f09-25c1-4735-bee7-1a2d04894cf6,254,4,265.81,0.44,23.91
3851c8e4-5fb1-4166-ba07-71fdcd16d668,142,2,139.62,0.36,22.38
3851c8e4-5fb1-4166-ba07-71fdcd16d668,472,10,261.46,0.12,65.52
9027bb79-5b2b-48cd-814a-32962b3fe32a,59,1,264.41,0.1,81.47
9027bb79-5b2b-48cd-814a-32962b3fe32a,396,3,538.72,0.07,205.43
ff990c2d-d8ca-4fb1-bbb1-ed4069670a6a,263,7,924.0,0.05,175.03
ff990c2d-d8ca-4fb1-bbb1-ed4069670a6a,198,2,789.33,0.18,115.9
72d9aedb-e1f6-4fc7-a7a7-171757388b7a,486,1,201.98,0.29,20.5
72d9aedb-e1f6-4fc7-a7a7-171757388b7a,14,1,20.25,0.2,5.75
72d9aedb-e1f6-4fc7-a7a7-171757388b7a,38,8,983.23,0.2,371.64
299b3a22-018c-43f7-b6b9-f5c56bb34fa9,409,1,1256.59,0.24,160.96
299b3a22-018c-43f7-b6b9-f5c56bb34fa9,140,9,450.47,0.11,46.33
299b3a22-018c-43f7-b6b9-f5c56bb34fa9,407,6,205.14,0.23,22.37
299b3a22-018c-43f7-b6b9-f5c56bb34fa9,338,5,1148.86,0.22,437.33
299b3a22-018c-43f7-b6b9-f5c56bb34fa9,414,10,544.63,0.02,138.03
640c7892-2ba1-4250-88d1-7c4fa92fb02a,410,9,21.08,0.3,4.5
640c7892-2ba1-4250-88d1-7c4fa92fb02a,443,1,847.21,0.01,109.99
640c7892-2ba1-4250-88d1-7c4fa92fb02a,54,4,649.31,0.18,126.52
02b68d62-cd40-4fa6-b8f5-7ae77025291a,452,2,167.96,0.19,64.26
02b68d62-cd40-4fa6-b8f5-7ae77025291a,498,1,500.21,0.23,51.31
02b68d62-cd40-4fa6-b8f5-7ae77025291a,238,10,787.43,0.39,214.13
9db0d517-e775-4612-9c8a-d2a03f0d0ba9,212,2,377.57,0.48,63.63
9db0d517-e775-4612-9c8a-d2a03f0d0ba9,265,4,880.46,0.11,326.91
9db0d517-e775-4612-9c8a-d2a03f0d0ba9,30,4,46.86,0.15,15.22
9db0d517-e775-4612-9c8a-d2a03f0d0ba9,331,9,566.28,0.42,157.46
9db0d517-e775-4612-9c8a-d2a03f0d0ba9,379,4,17.69,0.19,1.82
ea77144f-388c-4830-ab89-a6cbb3050d2f,160,10,497.62,0.06,216.38
78240701-c21a-48af-93e3-6dd00e8c99bf,30,10,202.08,0.4,12.77
78240701-c21a-48af-93e3-6dd00e8c99bf,153,1,211.11,0.14,48.81
78240701-c21a-48af-93e3-6dd00e8c99bf,470,9,165.35,0.41,40.2
78240701-c21a-48af-93e3-6dd00e8c99bf,367,7,329.32,0.04,115.36
78240701-c21a-48af-93e3-6dd00e8c99bf,93,8,355.49,0.45,88.07
dd62a056-cf51-4beb-81b4-0cf3cb2d0857,50,5,783.04,0.11,132.09
effef396-26ce-4afa-984b-fdd90e897526,392,10,1219.12,0.01,574.77
effef396-26ce-4afa-984b-fdd90e897526,310,9,747.72,0.44,202.64
effef396-26ce-4afa-984b-fdd90e897526,369,8,468.93,0.12,168.24
1f7bc2d7-9745-4211-b039-15fce9268e9b,281,6,909.34,0.35,290.1
1f7bc2d7-9745-4211-b039-15fce9268e9b,376,8,198.23,0.12,55.2
1f7bc2d7-9745-4211-b039-15fce9268e9b,56,5,44.45,0.12,10.79
1f7bc2d7-9745-4211-b039-15fce9268e9b,24,8,49.75,0.03,19.43
1f7bc2d7-9745-4211-b039-15fce9268e9b,184,1,230.89,0.18,32.96
0be2d6fa-1062-4b8c-9c8d-8f62352ada96,211,3,831.17,0.04,355.44
0be2d6fa-1062-4b8c-9c8d-8f62352ada96,418,8,884.42,0.07,192.79
0be2d6fa-1062-4b8c-9c8d-8f62352ada96,420,5,639.47,0.36,42.55
0be2d6fa-1062-4b8c-9c8d-8f62352ada96,497,8,258.81,0.06,95.59
0be2d6fa-1062-4b8c-9c8d-8f62352ada96,90,2,852.94,0.41,125.3
309017bd-b179-41c8-94fa-b5e9c0f33dcf,39,9,84.3,0.01,23.78
309017bd-b179-41c8-94fa-b5e9c0f33dcf,83,1,451.92,0.02,80.18
309017bd-b179-41c8-94fa-b5e9c0f33dcf,328,8,300.6,0.19,121.5
309017bd-b179-41c8-94fa-b5e9c0f33dcf,185,8,191.79,0.22,71.83
9b447a1a-6d15-47fa-a708-dd99f34b4fe9,297,6,446.48,0.19,114.96
9b447a1a-6d15-47fa-a708-dd99f34b4fe9,132,5,334.56,0.33,38.16
9b447a1a-6d15-47fa-a708-dd99f34b4fe9,135,10,553.62,0.41,156.16
9b447a1a-6d15-47fa-a708-dd99f34b4fe9,299,5,337.28,0.35,42.69
9b447a1a-6d15-47fa-a708-dd99f34b4fe9,97,8,665.02,0.5,162.49
46ec93e8-ffea-4bf3-8040-35fa47f21c64,354,4,149.66,0.19,45.58
46ec93e8-ffea-4bf3-8040-35fa47f21c64,428,4,137.02,0.38,9.62
46deeaa3-ad1e-456a-a8ef-e4bde3b1c3ab,399,6,992.54,0.19,395.86
ec207a2d-b6d6-49d7-90c8-66673855404e,175,6,292.12,0.2,67.72
ec207a2d-b6d6-49d7-90c8-66673855404e,179,6,97.68,0.18,23.66
ec207a2d-b6d6-49d7-90c8-66673855404e,407,10,735.14,0.28,56.01
ec207a2d-b6d6-49d7-90c8-66673855404e,13,7,637.38,0.42,145.77
655d1389-c5b2-4d44-a098-74ef3ec17cc9,370,10,117.04,0.26,25.04
655d1389-c5b2-4d44-a098-74ef3ec17cc9,412,4,95.92,0.47,16.13
655d1389-c5b2-4d44-a098-74ef3ec17cc9,144,7,1029.1,0.1,361.4
655d1389-c5b2-4d44-a098-74ef3ec17cc9,358,4,529.3,0.35,127.71
b4acee51-8ad0-4e8a-a6d3-d944f8dffcb7,134,10,629.02,0.08,212.85
b4acee51-8ad0-4e8a-a6d3-d944f8dffcb7,9,5,300.59,0.01,58.78
b4acee51-8ad0-4e8a-a6d3-d944f8dffcb7,413,7,30.02,0.46,3.01
b4acee51-8ad0-4e8a-a6d3-d944f8dffcb7,200,7,964.36,0.47,238.51
b4acee51-8ad0-4e8a-a6d3-d944f8dffcb7,424,5,1079.73,0.44,262.38
d74bc92a-657e-41cd-b11a-055711e99825,166,6,861.77,0.43,224.07
d74bc92a-657e-41cd-b11a-055711e99825,329,2,913.26,0.05,339.48
d74bc92a-657e-41cd-b11a-055711e99825,60,9,376.37,0.01,117.36
d74bc92a-657e-41cd-b11a-055711e99825,420,5,114.52,0.12,34.37
81c208f1-d8bf-43f0-8f1d-126b9304faf6,366,9,199.46,0.08,35.45
81c208f1-d8bf-43f0-8f1d-126b9304faf6,144,10,129.42,0.45,25.76
6d5f4a98-26be-41e5-beb1-3c41770e8b94,363,8,115.37,0.33,30.81
6d5f4a98-26be-41e5-beb1-3c41770e8b94,456,4,349.88,0.13,100.11
4be06acf-788f-486c-8a95-c14670d2d452,395,4,740.76,0.02,302.33
7bbcb6f1-f86b-47cd-8f52-06ee900a468d,247,3,104.11,0.47,17.7
